Date-Time,Title,Description
"December 18, 2023 06:34 PM IST",Gainers and Losers: 10 stocks that moved the most on December 18,"The benchmark indices took a break from their record-breaking run to close lower.  The Sensex ended at 71,315.09 and the Nifty at 21,405.55, down 0.24 percent each"
"December 18, 2023 04:22 PM IST",MC Interview | Dual control of PSBs by finance ministry & RBI is wrong: Montek Singh Ahluwalia,"The veteran economist said that the ultimate responsibility of regulating a PSB, including removing the Chairman, if necessary, should rest with the RBI, as is the case with private banks."
"December 18, 2023 04:23 PM IST","Can’t isolate impact of rupee fall on India’s imports, exports: Fin Min in Parliament","Chaudhary's comments come after the rupee hit a new all-time low of 83.41 per dollar on December 13. Since then, the Indian currency has gained some ground and was even trading in the sub-83 per dollar territory early on December 18"
"December 18, 2023 04:23 PM IST",RBZ Jewellers IPO: 10 things to know before subscribing to the Rs 100-crore issue,RBZ Jewellers IPO: The Rs 100-crore public offer is a fresh issue of one crore equity shares
"December 18, 2023 04:23 PM IST",Innova Captab IPO:10 things to know before subscribing to Rs 570-crore offer,Innova Captab IPO: The Rs 570-crore offer comprises a fresh issue of Rs 320 crore and offer for sale of 56 lakh shares.
"December 18, 2023 04:12 PM IST","Google has removed 2,500 fraudulent loan apps from its Play Store, says FM","The government is constantly engaged with the Reserve Bank of India (RBI) and other regulators and stakeholders concerned to control fraudulent loan apps, Finance Minister Nirmala Sitharaman said in a written reply to the Lok Sabha."
"December 18, 2023 04:10 PM IST",Vedanta approves second interim dividend of Rs 11 per share for FY24,"Since July 2001, Vedanta has declared 41 dividends"
"December 18, 2023 04:05 PM IST",Sandeep Nelamangala to manage Bosch's mobility business portfolio in India,"Nelamangala is currently Joint Managing Director of Bosch Ltd and Executive Vice President – sales, Mobility Solutions, Bosch India, the company said in a statement."
"December 18, 2023 03:58 PM IST","Live: Sensex sheds 169 pts l Nifty closes below 21,450 l Banking stocks paused after upwards surge","Indian markets ended in red on Monday after a record-breaking run. While BSE Sensex lost 168.66 points to 71,315.09, NSE Nifty declined 38 points to 21,418.65, show provisional data. The banking and IT stocks took a breather following recent upward momentum. For more analysis on today's market highs tune into Bajar Gupshup with Yatin Mota only on Moneycontrol."
"December 18, 2023 04:00 PM IST",Siemens jumps 6% on plans to spin-off energy business,The promoters requested Siemens' board to consider demerging the firm’s energy business into a separate entity.
"December 18, 2023 03:47 PM IST",Vodafone shares up as Iliad proposes Italian merger,"Shares in Vodafone, which said last month it was reviewing options for its Italian operation, rose 5.5 percent in early trading on the Iliad joint-venture proposal, which Reuters first reported on Friday."
"December 18, 2023 04:31 PM IST","Taking stock: Market takes breather from bull run; Nifty around 21,400, Sensex down 169 pts","Top losers on the Nifty were Power Grid Corporation, JSW Steel, ICICI Bank, ITC and Tech Mahindra, while gainers were Bajaj Auto, Adani Ports, Sun Pharma, Hindalco Industries and Reliance Industries"
"December 18, 2023 03:37 PM IST","Flexible office space market likely to rise 60% to over Rs 14,000 crore this fiscal: Report","Upflex India, a marketplace for flexible workspaces, has released its first report 'Co-Working and Managed Offices Redefining the Indian Commercial Real Estate'."
"December 18, 2023 03:36 PM IST","Sensex, Nifty rally break amid profit-booking, defensive plays the favourite",Nifty Pharma was the top sectoral performer followed by media and consumer durables
"December 18, 2023 03:32 PM IST","ASI submits Gyanvapi survey report in Varanasi court, next hearing on Dec 21","Advocate Madan Mohan Yadav, who is representing the Hindu petitioners, said, ""The report in sealed cover was placed before the court by the ASI's standing counsel Amit Srivastava."""
"December 18, 2023 03:29 PM IST","Delhi Jal Board's 'revenue week' to begin on Dec 26, four camps to promote lesser-known facilities","The Delhi Jal Board (DJB) will during the revenue week' set up camps where they will give demonstrations on how to do self-billing, read a meter and use the facility of temporary disconnection besides other facilities."
"December 18, 2023 03:37 PM IST",Moneycontrol Pro Panorama | A pause for breath?,"In today's edition of Moneycontrol Pro Panorama: China’s stimulus move not enough, Indian IT return as investor favourite, Indian pharma growth trends downwards, Mahua Moitra’s expulsion buries political hatchet, and more"
"December 18, 2023 03:19 PM IST","India prefers duty cuts on EVs via FTA route with specific nations, says source","According to a statement by the finance ministry in the Parliament, currently there is no plan to exempt local value addition cost or to provide subsidy on EV imports."
"December 18, 2023 04:24 PM IST",Oil boon will add extra zip to rally in emerging-market assets,"Brent crude’s slide of more than 20 percent from its September peak suggests inflation is set to slow even further in developing nations in coming months, which will provide another reason to buy their bonds."
"December 18, 2023 03:12 PM IST",India resumes buying Venezuelan oil. What does it mean for the country?,"Indian oil companies, including Reliance Industries Limited, Indian Oil Corporation, and HPCL-Mittal Energy, have secured cargoes from Venezuela. Oil from that country is expected to hit the Indian market in the coming months"
"December 18, 2023 03:02 PM IST",Workers at Amazon logistics centre in Spain plan 3-day strike over wages,"Around 160 workers at the Trapagaran centre in the Basque country, on the border between France and Spain, plan to strike on Jan. 3, 4 and 5 to demand higher wages, said LAB union leader Gotzon Mardarats, who represents most of the workers."
"December 18, 2023 02:57 PM IST",Karnataka government makes wearing of face masks mandatory for people above 60 & those with comorbidities,"Increased tests among those with such symptoms and suspected cases, and heightened surveillance in border districts are among the measures that the officials have been instructed to take up, Health Minister Dinesh Gundu Rao told reporters here."
"December 18, 2023 02:55 PM IST","BCCI Plans Tier-2 ‘IPL Like’ Tournament, May Be T10 Format | Cricket Gamechanger?","Big news: The BCCI is considering introducing a Tier-2 cricket league as early as 2024. This may be similar to the IPL, but in a T10 format. The tournament may be held between September & October. If this happens, those in the industry say the global narrative of the game will change far faster than what was believed. Watch for all the details!"
"December 18, 2023 02:51 PM IST","'AI At An Inflection Point In India, 1st Global India AI Summit In Jan', Says Rajeev Chandrasekhar","Union Minister Rajeev Chandrasekhar at Global AI Conclave. This Conclave Focuses on Generative AI, Unlocking Artificial Intelligence for Enterprise, Cyber Safety in AI Age, AI Sovereignty. Watch Live as Tech and AI Industry Leaders speak at this conclave hosted by Moneycontrol and CNBC TV18."
"December 18, 2023 02:45 PM IST",Robin Raina-led Ebix files for bankruptcy: Reports,Ebix runs a financial transactions and remittances company Ebixcash in India and it is not clear how the events will impact the operations in the country.
"December 18, 2023 02:45 PM IST",It’s high time India transitioned away from industrial agriculture,"The Green Revolution was an important intervention at a time when India needed cereal self-sufficiency. But the industrial agriculture that it gave birth to is proving disastrous for India’s farmers. The high input costs, supply gluts, erratic climate, etc are leading to falling farm incomes, debt traps and farmer suicides"
"December 18, 2023 04:50 PM IST","Suraj Estate Developers IPO: Issue booked 68% on Day 1, retail portion fully subscribed","Suraj Estate Developers IPO: The price band for the issue, which will close on December 20, has been fixed at Rs 340-360 a share"
"December 18, 2023 02:41 PM IST",Siemens Ltd board approves plan to incorporate subsidiary to execute demerger of energy business,"The BoD, at its meeting held on December 18 2023, authorised the management to commence exploratory steps as may be required to examine a potential demerger of its energy business."
"December 18, 2023 02:35 PM IST",MC Insider | Why provisions? wonders bank chief; merger mischief; whiff of cabinet reshuffle; and more!,Read untold stories from the world of business and corridors of power
"December 18, 2023 02:27 PM IST",TMT rebars demand to grow over next 3-4 months: Tata Steel VP,"There is a good demand seen from the construction, housing, and infrastructure segments, where new projects are coming up all over the country, Ashish Anupam, Vice President - Long Products at Tata Steel Ltd, said."
"December 18, 2023 03:09 PM IST",IPL AUCTION STRATEGY: What kind of players will teams bid for and why,"There could be some eye-popping deals for players, who would have struggled otherwise to attract attention in the mega auction."
"December 18, 2023 02:19 PM IST",China's IM Motors seeks OK on L3 highly autonomous vehicles,"IM Motors, which is also backed by Alibaba Group investments, said its EVs could be among the first models approved as legitimate highly autonomous driving vehicles by the Ministry of Industry and Information Technology (MIIT)."
"December 18, 2023 02:15 PM IST","UCO Bank yet to recover over Rs 100 crore in the IMPS case, says government","The minister added that UCO Bank lodged an FIR with CBI on November 15, 2023, regarding a transfer/deposit of Rs 820 crore to a different account from UCO Bank"
"December 18, 2023 02:11 PM IST","Yashobhoomi, at Dwarka, could be the venue for Auto Expo 2025, say industry sources","Dwarka is likely to host the event as it is well connected by the metro and not too far from the airport. Also, the venue is among the world's largest MICE facilities."
"December 18, 2023 09:25 PM IST",MC Explains: Why Houthi attacks in Red Sea trigger warning for global trade; how it concerns India,"Four of the world's biggest container shipping lines — MSC, A.P. Moller-Maersk, CMA CGM and Hapag Lloyd — have paused or suspended Red Sea operations as Yemen's Houthi militants stepped up their assaults on commercial vessels."
"December 18, 2023 04:50 PM IST","Motisons Jewellers IPO sees over 14-fold subscription, retail portion booked 21.3 times on debut","Motisons Jewellers IPO: Ahead of the IPO, the company mobilised Rs 36.3 crore from 2 anchor investors"
"December 18, 2023 02:10 PM IST","Self-employed now find it easier to buy term insurance, says Policybazaar study","In a departure from the past, term insurance issuance to the self-employed has gone up; Policybazaar internal sales data showed an increase of 25 percent between July 2021 to September 2023."
"December 18, 2023 04:35 PM IST",AI can create more jobs than it potentially eliminates: Tech Mahindra's outgoing CEO,"""The use cases of Generative AI are still being defined, which means that it has the potential to create more job opportunities in the future. Undoubtedly, the possibilities are just opening, and there is more to come,"" CP Gurnani told Reuters in an interview."
"December 18, 2023 09:40 PM IST","Zerodha-backed Sensibull takes another shot at finfluencers, launches series on trading failures","It invites ordinary traders to talk about their trading failures, in a counter to celebrity trader-finfluencers' success stories"
"December 18, 2023 01:55 PM IST","RBI imposed Rs 40.39-crore worth of penalties on banks, NBFCs, others in FY23","The highest number of penalties, 176, amounting to Rs 14.04 crore, were slapped on cooperative banks"
"December 18, 2023 01:51 PM IST",MC Explains: Are four PSBs merging?,Bankers said a report on social media that the government planned to merge four public sector banks was interpreted wrongly.
"December 18, 2023 07:29 PM IST",NAREDCO urges finance ministry to introduce second phase of SWAMIH Fund,The builders’ body has also sought the removal of tax on notional rent levied on unsold stock.
"December 18, 2023 02:54 PM IST","NSE has to be glitch-free for at least a year to get IPO approval, says SEBI","The market regulator has imposed other conditions as well. NSE listing has been delayed by several years following a string of corporate governance issues, including the 2015 co-location scam, and multiple technological failures"
"December 18, 2023 01:38 PM IST",Recruitment firm Redrob raises $4 million in seed round funding,"After the fundraising, Redrob is expanding its online testing platform with ‘Redrob Global People Search’, the company said in a statement."
"December 18, 2023 01:58 PM IST","Global AI Conclave: Startup founders should aim for consistent compounding, says Peak XV’s Shailendra Singh","As a result of consistent compounding, startups will become larger businesses worth $50-100 billion in the years to come, per Singh."
"December 18, 2023 01:38 PM IST",Jai Balaji Industries raises Rs 559 crore from Tata Capital Financial Services to retire legacy NPAs,"In 2018-19, Jai Balaji had an outstanding NPA of about Rs 3,000 crore, and banks subsequently sold this debt to two ARCs."
"December 18, 2023 01:33 PM IST",Sugar output down 11% at 74 lakh ton during October 1-December 15 of 2023-24 market year,The sugar marketing year runs from October to September.
"December 18, 2023 03:54 PM IST","SpiceJet, 2 others in race to bid for bankrupt Go First; share price surges 20%","Last week, SpiceJet announced a plan to raise over Rs 2,250 crore by issuing up to 130 million convertible warrants. This capital infusion could support the airline in its potential acquisition of Go First, sources have said"
"December 18, 2023 01:25 PM IST",CCI junks ex-Air India pilot's objections to airline's merger with Vistara,"According to the order, the pilot asked CCI not to approve the merger of Air India with any other airline or business group."
"December 18, 2023 02:10 PM IST","India likely to achieve fiscal deficit target in 2023-24, says govt","India's fiscal deficit in the first seven months of the financial year ending on March 31, 2024 was 8.04 trillion Indian rupees ($96.86 billion), or 45% of the estimate for the whole year, according to data released by the government last month."
"December 18, 2023 06:43 PM IST","Inox India IPO subscribed 61.28 times, HNI portion booked 53x on final day","Inox India IPO: The price band for the offer, which closes on December 18, has been fixed at Rs 627-660 a share"
"December 18, 2023 01:15 PM IST",FinMin mulling closure of special fund created for central public sector enterprises: Official,"The Special National Investment Fund was created to help some CPSEs meet the minimum public shareholding requirement. Since the govt was holding more in some of them, the fund was created to park a part of the excess holding."
"December 18, 2023 01:20 PM IST","Sun Pharma market cap breezes past Rs 3 lakh crore, stock hits 52-week high","So far this year, Sun Pharma shares surged over 26 percent as against 17 percent rise in the benchmark Sensex"
"December 18, 2023 01:09 PM IST",The Fed should resist market bullying,Central bank is facing pressure to take an even more dovish stance
"December 18, 2023 01:06 PM IST","Kerala govt may consider approaching Centre to get Governor removed, says CM Pinarayi Vijayan","Vijayan, addressing the media here as part of the ongoing Nava Kerala Sadas, said Khan was trying to disrupt the peaceful atmosphere in the state by creating deliberate provocation."
"December 18, 2023 01:20 PM IST",Kiren Rijiju flags off India's maiden winter science expedition to Arctic,A team of four scientists will embark on the journey on Tuesday to India's research station in the NyAlesud town on the Brogger peninsula where research institutes from 10 countries have laboratories.
"December 18, 2023 04:51 PM IST","Muthoot Microfin IPO booked 79%, retail portion fully subscribed","Muthoot Microfin IPO: The price band of the offer, which will close on December 20, has been fixed at Rs 277-291 per share"
"December 18, 2023 01:20 PM IST",Buy Hero MotoCorp; target of Rs 4480: Motilal Oswal,"Motilal Oswal is bullish on Hero MotoCorp recommended buy rating on the stock with a target price of Rs 4480 in its research report dated December 15, 2023."
"December 18, 2023 12:53 PM IST","Hyderabad auto, taxi drivers hitch ride on ONDC to launch ride-hailing app Yaary","Similar to Bengaluru's Namma Yatri platform, ONDC-backed Yaary also promises not to charge any commission from drivers on its platform"
"December 18, 2023 01:00 PM IST",Motisons Jewellers IPO: 10 things to know before subscribing to Rs 151 crore issue,Motisons Jewellers IPO: The Rs 151 crore issue consists of only a fresh issue portion of 2.75 crore equity shares.
"December 18, 2023 01:21 PM IST",Live: SGBs 2023-24 series III opens: should you invest? | Commodities Corner,"The Reserve Bank of India (RBI) has unveiled the Sovereign Gold Bond (SGB) Scheme Series III for the fiscal year 2023-2024. This launch comes in response to the significant rise in gold prices, exceeding a 10 percent hike in 2023, which has defied expectations despite a challenging high-interest rate landscape. Catch Manisha Gupta in conversation with Surendra Mehta, National Secretary -IBJA"
"December 18, 2023 01:03 PM IST",Thermax jumps 7% on positive views from brokerages,"Jefferies, which has Thermax among its top industrial stock picks, has a 'buy' call on the stock. Thermax should benefit from its transition into a company focused on clean energy, it has said"
"December 18, 2023 12:45 PM IST","Top Nifty gainers and losers at mid-day: Bajaj Auto, Eicher gain; ICICI, JSW drop","About 1996 shares advanced, 1292 shares declined, and 120 shares were unchanged."
"December 18, 2023 12:51 PM IST",Chart of the Day: Mid and small companies face a question of how to fund growth,Investors have been flocking to small and mid-caps perceiving them as better opportunities but large companies seem better equipped to sustain growth
"December 18, 2023 01:05 PM IST",Traditional roles in banks are shrinking in the face of modernisation,"Roles that have seen a headcount contraction of 5 percent to 8 percent over the last two years are Telecallers, Senior Sales Officers, Sales Executives, Relationship Executives and Collection Officers, according to data put together for Moneycontrol by specialist staffing company Xpheno."
"December 18, 2023 07:11 PM IST",Govt tables Telecommunications Bill 2023 in Lok Sabha: Know the key features,"The Bill allows the government to take over, manage or suspend telecommunication services or a network over national security"
"December 18, 2023 12:17 PM IST",Mercedes Benz to carry out level 3 autonomous driving tests on designated highways in Beijing,The German automaker said it was one of the first batch of companies approved by the Beijing municipal government on Saturday to run such tests as the regulator accelerates the mass adoption of highly autonomous driving technologies.
"December 18, 2023 12:17 PM IST",Buy VRL Logistics; target of Rs 910: Motilal Oswal,"Motilal Oswal is bullish on VRL Logistics recommended buy rating on the stock with a target price of Rs 910 in its research report dated December 15, 2023."
"December 18, 2023 12:08 PM IST",Hold Thermax; target of Rs 2771: Prabhudas Lilladher,"Prabhudas Lilladher recommended hold rating on Thermax with a target price of Rs 2771 in its research report dated December 18, 2023."
"December 18, 2023 12:08 PM IST","Extended trading-hour plan in cold storage as small, traditional brokers resist move",Smaller brokers fear that volumes will not come initially but costs will mount. The window between 3:30 pm and 6 pm is too narrow to settle the trades and create fresh files for clients for the evening session
"December 18, 2023 12:38 PM IST",Gujarat pushes for use of modern technologies to enhance its potential in fisheries sector,"The state, which has also contributed to 17 per cent of India's total fish exports at Rs 5,000 crore, is now urging its traditional fishing community to adopt modern technologies to harvest the potential of deep-sea fishing, which provides immense possibilities of growth."
"December 18, 2023 12:00 PM IST",Tencent turns to ByteDance in gaming showdown with NetEase,"Tencent released on Friday mobile party game ""DreamStar"" that it hopes to challenge ""Eggy Party"", a similar offering from NetEase which has become a surprise hit this year with 100 million monthly active users."
"December 18, 2023 12:02 PM IST",Buy Can Fin Homes; target of Rs 960 Sharekhan,"Sharekhan is bullish on Can Fin Homes has recommended buy rating on the stock with a target price of Rs 960 in its research report dated December 15, 2023."
"December 18, 2023 12:21 PM IST","Congress launches crowdfunding campaign, seeks help of common people to build country","Mallikarjun Kharge donated a sum of Rs 1,38,000 from his salary to launch the ""Donate for Desh"" campaign in the presence of party leaders and general secretaries K C Venugopal and Jairam Ramesh and treasurer Ajay Maken."
"December 18, 2023 11:45 AM IST",Where is democracy headed in 2024? Donald Trump may have the final word,"For those who worry that authoritarian rulers are firmly in the ascendant over more liberal democrats, there is likely to be much to fret about in 2024."
"December 18, 2023 11:50 AM IST",Subscribe to Suraj Estate Developers: Geojit,"Geojit, has come out with its report on Suraj Estate Developers. The research firm has recommended to “ Subscribe ” the ipo in its research report as on December 15, 2023."
"December 18, 2023 11:44 AM IST",Mankind Pharma gains on raising stake in British therapeutics firm,"For Mankind, this is a strategic investment in the field of treatment of cancer cachexia, amyotrophic lateral sclerosis, and other muscle-wasting disorders."
"December 18, 2023 11:43 AM IST","Chhattisgarh cabinet expansion soon, says CM Vishnu Deo Sai",Vishnu Deo was talking to reporters at the Swami Vivekananda Airport in Raipur after returning from New Delhi.
"December 18, 2023 11:32 AM IST",PM Modi inaugurates world's largest meditation centre Swarved Mahamandir in Varanasi,"Following the inauguration, he along with Uttar Pradesh Chief Minister Yogi Adityanath took a tour of the centre that can seat 20,000 people at a time for meditation."
"December 18, 2023 11:30 AM IST",Beware of micro caps and illiquid stocks; large caps hold promise: Kotak MF's Harsha Upadhyaya,"The overall market undertone remains positive but volatility could increase as valuations go up, cautions Upadhyaya"
"December 18, 2023 11:32 AM IST",Subscribe to Muthoot Microfin Ltd: Geojit,"Geojit, has come out with its report on Muthoot Microfin Ltd. The research firm has recommended to “ Subscribe ” the ipo in its research report as on December 15, 2023."
"December 18, 2023 11:32 AM IST",Adani Group’s Ambuja Cements to invest $723 million in Green Energy projects,"The Mumbai-based cement maker, which the Adani Group acquired from Holcim Ltd. last year, will be funding this investment through internal accruals, it said in an exchange filing Monday."
"December 18, 2023 11:30 AM IST",RBI move to increase risk weight on consumer loans won’t impact microfinance: Muthoot Microfin CEO,The public issue of Muthoot Microfin Limited opens for subscription today. The Rs 960-crore IPO is a combination of 2.61 crore fresh shares aggregating to Rs 760 crore and an offer-for-sale of 0.69 crore shares aggregating to Rs 200 crore
"December 18, 2023 11:25 AM IST",Moneycontrol Selects: Top stories this morning,Our specially curated package of the top stories to help you stay well-informed.
"December 18, 2023 11:51 AM IST",Bankruptcies soar as high rates and end of COVID aid hit businesses hard,‘Zombie’ firms lose lifeline as increased borrowing costs compound withdrawal of pandemic-era support
"December 18, 2023 11:09 AM IST",Muthoot Microfin Rs 960-crore public issue to hit the primary markets on December 18th | IPO Watch,"This upcoming IPO set to open on December 18, 2023, and close on December 20, 2023. With a price band fixed at Rs 277-291 per share and aiming to raise Rs 960 crore, this company is gearing up for growth. Watch Nickey Mirchandani of Moneycontrol in conversation with Mr. Sadaf Sayeed, CEO, Muthoot Microfin Limited."
"December 18, 2023 11:43 AM IST",Jefferies picks Indian hospitals as top growth sector for FY24-26 amidst anticipated capacity surge,The sector will be characterised by sharp bursts of growth and periods of slow growth but will see a big capacity expansion and rise in average revenue per occupied bed.
"December 18, 2023 11:08 AM IST","Budget 2024-25: Steady progress on inflation, but next steps are crucial","Budget 2024-25: The government and RBI's fight against inflation is never-ending, given how food prices behave. While the Modi government has indeed tried to tame these prices, it now needs to do more"
"December 18, 2023 10:59 AM IST","Sell EURINR; target of : 90.30 : December 18, 2023: ICICI Direct","ICICI Direct, Euro slipped by 0.89% on Friday amid strong dollar and weaker than expected economic data from Euro Zone."
"December 18, 2023 10:56 AM IST","Indian IT gets US lifeline, turns investor favourite","The narrative of a soft landing and a peak in US interest rates has raised hopes of IT companies and their investors, and leading to revised hiring plans"
"December 18, 2023 01:15 PM IST","Mid-day Mood | Bull ride takes a pause as Sensex, Nifty trade lower; broader indices outshine","Defensive plays,  which lagged in earlier trades, took the lead in afternoon deals. The Nifty pharma index was up over a percent and the Nifty consumer durables 0.6 percent"
"December 18, 2023 10:58 AM IST",JSW Group stocks fall after group chairman is accused of rape,Chairman Sajjan Jindal has denied rape accusations as ‘baseless’
"December 18, 2023 10:47 AM IST","Goldman ramps up credit business in India, targets rich diaspora","The investment bank wants to broaden the range of loans it offers through its shadow banking unit, according to Sonjoy Chatterjee, chairman and chief executive officer for Goldman in India."
"December 18, 2023 10:46 AM IST",Pharma Sector set for gains: Dr Reddy's Lab sees significant long position build-up,"Pharma sector to be in focus this week in F&O segment with strong long build up witnessed in stocks like Zydus Life, Lupin, Lauruslabs, Divislab, and Dr. Reddy's."
"December 18, 2023 10:37 AM IST","Suraj Estate Developers to continue to focus on luxury segment, reduce debt","Upon the conclusion of this issue, the company expects to pay off around Rs 285 crore of debt, leaving approximately Rs 270 crore against a paid-up capital of Rs 500 crore."
"December 18, 2023 10:37 AM IST",IIT Roorkee students receive 802 job offers in Phase 1 of placement season,The institute said that students received 23 international offers and more are expected as some international companies are lined up in Phase 2 of the placement round.
"December 18, 2023 10:35 AM IST",Sembcorp inks deal with Japanese firms to export green ammonia from India,"Sembcorp Green Hydrogen Pte, has signed a memorandum of understanding with Japanese conglomerate Sojitz Corp and energy major Kyushu Electric Power for potential opportunities for green ammonia production, Sembcorp said on Monday."
"December 18, 2023 10:28 AM IST",Presstonic Engineering stock makes bumper debut; lists at 94% premium to IPO price on NSE SME,Presstonic Engineering shares were commanding a 100 percent premium in the grey market ahead of the listing
"December 18, 2023 10:31 AM IST",Goldman sees India to Australia easing policy earlier after Fed,"They have now brought forward Indonesia and Taiwan’s first rate cut to the second quarter of next year and India, Australia and New Zealand’s to the third quarter, having previously anticipated a loosening at the end of 2024."
"December 18, 2023 10:46 AM IST","Agri Picks Report December 18, 2023: Geojit","According to Geojit, Food Corp of India has sold 4.81 mln tn of wheat and 119,000 tn of rice under the Open Market Sales Scheme through 25 eauctions so far since Aug 28, according to an official release."
"December 18, 2023 10:30 AM IST","No respite for TCS, Infosys & other IT firms in near term, Citi sticks to 'sell' calls","Foreign banking giant Citi has re-iterated its ""sell"" or ""neutral"" calls on all the IT stocks in Nifty 50, especially as they go through a seasonally weak quarter and due to low visibility of large projects"
"December 18, 2023 10:20 AM IST",Mazagon Dock Shipbuilders gains 2% on $42-mn contract with European client,"The contract is for individual  shipbuilding contracts for construction of three units of 7,500 DWT multi-purpose hybrid powered vessels."
"December 18, 2023 10:20 AM IST","Here are the 10 biggest wealth-destroyers of 2023, do you own any?","In 2023, despite the Indian markets doing well, Moneycontrol research found 10 stocks that fell over 95%, severely impacting investor wealth"
"December 18, 2023 10:17 AM IST",Motisons Jewellers Ltd: Why you should avoid this IPO?,"While the jewellery industry has been outpacing other retail sectors, owing to premiumisation and an accelerated shift towards the organised segment, we are cautious on MJL."
"December 18, 2023 10:15 AM IST",Sterling and Wilson Renewable Energy zooms 5% after promoter dilutes over 2% stake,Plutus Wealth Management LLP bought 25 lakh shares or 1.3 percent stake in the company at a price of Rs 410 per share at the same time.
"December 18, 2023 10:13 AM IST",ZEE shares fall 3% after media firm seeks extension to complete Sony merger,"Zee has asked Bangla Entertainment Private Limited (BEPL) and Sony Pictures Networks India, now known as Culver Max Entertainment Private Limited, to extend the date required to make the merger scheme effective"
"December 18, 2023 10:07 AM IST",Democracy and climate politics are set to collide next year,"After the legalistic niceties of environmental diplomacy, the dirtier business of political maneuvering is going to consume the world’s democracies over the next 12 months. In 2024, climate will be on the ballot in a way we’ve rarely seen"
"December 18, 2023 10:07 AM IST",Hong Kong bankers’ uneasy dance with property tycoons,"Next year, close to $25.6 billion of bank loans taken out by Hong Kong’s property developers will be due, and only 15% of them have been — or are close to being — refinanced. Whether banks will continue lending to the business elites has become a hot issue, as commercial real estate woes plague the world’s biggest cities"
"December 18, 2023 10:18 AM IST",Experts line up top 10 stock ideas as bulls may keep up the rally on Dalal Street,"In the near term, given the RSI at overbought zone levels and PCR (Put-Call ratio) reached 1.5 mark, the consolidation or some pull back can't be ruled out, experts said."
"December 18, 2023 10:05 AM IST",Suraj Estate IPO: Apply for listing gains,"Given the balance sheet issues in the past, the IPO is richly valued."
"December 18, 2023 10:05 AM IST",How COP28 failed the world's small islands,"This was met by a sense of déjà vu among delegates of the Alliance of Small Island States (Aosis), an intergovernmental organisation representing the nations most vulnerable to climate change."
"December 18, 2023 10:05 AM IST","L&T, Siemens, Thermax, KEI top picks for Jefferies in industrial sectors","Jefferies expects sustained growth over the next 4 quarters, despite L&T's lower YoY margins due to project mix and higher international sales."
"December 18, 2023 10:03 AM IST","Margins may choke for pipe makers as PVC prices melt, forecasts Jefferies",Jefferies expects Kajaria Ceramics to experience weaker margins due to three price hikes by Gujarat Gas from August to November
"December 18, 2023 12:47 PM IST",Should investors consider the IPO of this micro-finance company?,"Lower cost structure, higher earnings growth are key positives for this MFI"
"December 18, 2023 09:55 AM IST",Infosys stock falls as investors book profit; IT major unveils development centre in Nagpur,"The new center will also give employees the opportunity to work on next-gen technologies like cloud, AI, and digital across multiple industries"
"December 18, 2023 09:55 AM IST",Exclusive | Prataap snacks promoters in talks with potential buyers for sale of controlling stake,"The stake sale could also see the exit of the company's founders, the Mehta and Kumat families, which control a 22 percent stake."
"December 18, 2023 09:45 AM IST","Lupin shares gain 2.5% on US FDA nod to gout, diabetes drugs",The products will be manufactured at company's Pithampur facility in India.
